PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40216702,Low positivity rate of fibroblast growth factor receptor 2b is associated with heterogeneous expression in gastric cancer.,"{'Year': '2025', 'Month': 'Apr', 'Day': '11'}",[],[],
40215976,AI-driven biomarkers for antibody-drug conjugates.,"{'Year': '2025', 'Month': 'Mar', 'Day': '25'}",[],[],
40212805,Developing a digital video to support lung cancer screening in diverse populations.,"{'Year': '2025', 'Month': 'Jun'}",[],[],
40211360,Metabolomic signatures in liquid biopsy are associated with overall survival in metastatic melanoma patients treated with immune checkpoint inhibitor therapy.,"{'Year': '2025', 'Month': 'Apr', 'Day': '10'}",[],[],
40211189,A Phase Ia/b study of MEK1/2 inhibitor binimetinib with MET inhibitor crizotinib in patients with RAS mutant advanced colorectal cancer (MErCuRIC).,"{'Year': '2025', 'Month': 'Apr', 'Day': '10'}",[],[],
40211054,Sex and the Garden of Eden.,"{'Year': '2025', 'Month': 'Apr', 'Day': '10'}",[],[],
40210856,Adiponectin to the rescue: extracorporeal photopheresis for managing immune checkpoint inhibitor-induced toxicities.,"{'Year': '2025', 'Month': 'Apr', 'Day': '11'}",[],[],
40210677,Large-scale multi-omics analyses in Hispanic/Latino populations identify genes for cardiometabolic traits.,"{'Year': '2025', 'Month': 'Apr', 'Day': '11'}",[],[],
40210555,"Reply to Felix Melchior, Andreas Pircher, and Isabel Heidegger's Letter to the Editor re: Johann S. de Bono, Meng He, Chen Shi, et al. Final Overall Survival and Molecular Data Associated with Clinical Outcomes in Patients Receiving Ipatasertib and Abiraterone in the Phase 3 IPATential150 Trial. Eur Urol. In press. https://doi.org/10.1016/j.eururo.2024.12.015.","{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40209856,Phase II trial of organ preservation program using short-course radiation and FOLFOXIRI for rectal cancer (SHORT-FOX): Two-Year primary outcome analysis.,"{'Year': '2025', 'Month': 'Apr', 'Day': '08'}",[],[],
40209851,Nectin-4 Expression Patterns and Therapeutics in Oncology.,"{'Year': '2025', 'Month': 'Apr', 'Day': '08'}",[],[],
40209615,"Safety, tolerability, and pharmacokinetics of ASP1235 in relapsed or refractory acute myeloid leukemia: A phase 1 study.","{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40208872,A nonenzymatic dependency on inositol-requiring enzyme 1 controls cancer cell cycle progression and tumor growth.,"{'Year': '2025', 'Month': 'Apr', 'Day': '10'}",[],[],
40207420,"Increasing representation of Asian American, Native Hawaiian, and Pacific Islander communities in aging, dementia, and caregiving research: An update from the CARE registry.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40205198,"{'sup': ['+', '+'], '#text': 'Autologous T cell therapy for PRAME advanced solid tumors in HLA-A*02 patients: a phase 1 trial.'}","{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40205047,Immune checkpoint TIM-3 regulates microglia and Alzheimer's disease.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40204952,The BCL-2 protein family: from discovery to drug development.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40204951,Re-appraising assays on permeabilized blood cancer cells testing venetoclax or other BH3 mimetic agents selectively targeting pro-survival BCL2 proteins.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40204706,Immunotherapy with conventional type-1 dendritic cells induces immune memory and limits tumor relapse.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40203805,More than the sum: How vascular endothelial growth factor inhibition unlocks the full potential of immune checkpoint blockade.,"{'Year': '2025', 'Month': 'Apr', 'Day': '08'}",[],[],
40203765,"Inavolisib plus letrozole or fulvestrant in PIK3CA-mutated, hormone receptor-positive, HER2-negative advanced or metastatic breast cancer (GO39374): An open-label, multicentre, dose-escalation and dose-expansion phase 1/1b study.","{'Year': '2025', 'Month': 'Mar', 'Day': '30'}",[],[],
