PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40216974,Fine-grained forecasting of COVID-19 trends at the county level in the United States.,"{'Year': '2025', 'Month': 'Apr', 'Day': '11'}",[],[],
40215224,ALVAC-prime and monomeric gp120 protein boost induces distinct HIV-1 specific humoral and cellular responses compared with adenovirus-prime and trimeric gp140 protein boost.,{'Year': '2025'},[],[],
40212240,Ionizable Lipid Containing Nanocarriers for Antimicrobial Agent Delivery.,"{'Year': '2024', 'Month': 'Oct'}",[],[],
40209340,Outcomes and vaccination patterns against COVID-19 in a cohort of sickle cell disease patients in the state of Rio de Janeiro.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40205144,"Optimal Timing of Vaccination: A Narrative Review of Integrating Strategies for COVID-19, Influenza, and Respiratory Syncytial Virus.","{'Year': '2025', 'Month': 'Apr', 'Day': '10'}",[],[],
40204016,Respiratory Syncytial Virus hospitalisation burden in children below 18 years in six European countries (2016-2023) pre- and post-COVID-19 pandemic.,"{'Year': '2025', 'Month': 'Apr', 'Day': '07'}",[],[],
40201360,The effect of COVID vaccination timing on the seroprevalence of IgG antibodies: evidence from the Guayas region of Ecuador.,{'Year': '2025'},[],[],
40196264,Strain- and vaccine-specific effects of serum antibodies in the protection of intestinal SARS-CoV-2 infection.,"{'Year': '2025', 'Month': 'Mar', 'Day': '28'}",[],[],
40196074,Cutaneous Adverse Events Following COVID-19 Vaccination in Japan: A Questionnaire Survey.,"{'Year': '2025', 'Month': 'Mar'}",[],[],
40195183,Medium-vessel vasculitis following COVID-19 moderna (mRNA-1273) vaccination and the utility of PET-CT as a diagnostic tool: a case report.,"{'Year': '2025', 'Month': 'Apr', 'Day': '08'}",[],[],
40193007,"A Response to: Letter to the Editor Regarding ""Serum Troponin I Assessments in 5- to 30-Year-Olds After BNT162b2 Vaccination"".","{'Year': '2025', 'Month': 'Apr', 'Day': '07'}",[],[],
40191438,COVID-19 Vaccination and Cardiovascular Events: A Systematic Review and Bayesian Multivariate Meta-Analysis of Preventive Benefits and Risks.,{'Year': '2025'},[],[],
40189198,Efficacy and limitations of SARS-CoV-2 vaccines - A systematic review.,"{'Year': '2025', 'Month': 'Apr', 'Day': '04'}",[],[],
40188842,Mobilising national and regional assets and non-state actors for pandemic preparedness.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40188838,"Nirmatrelvir-ritonavir versus placebo-ritonavir in individuals with long COVID in the USA (PAX LC): a double-blind, randomised, placebo-controlled, phase 2, decentralised trial.","{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40187358,Altered baseline immunological state and impaired immune response to SARS-CoV-2 mRNA vaccination in lung transplant recipients.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40184822,Expression of SARS-CoV-2 spike protein in cerebral Arteries: Implications for hemorrhagic stroke Post-mRNA vaccination.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40184638,COVID-19 vaccination uptake in people experiencing homelessness during the first three years of the global COVID-19 vaccination effort: A systematic review and meta-analysis.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40179522,"Immunogenicity and safety of monovalent and bivalent SARS-CoV-2 variant adapted RBD-based protein booster vaccines in adults previously immunized with different vaccine platforms: A phase II/III, randomized clinical trial.","{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40178595,Identification of a seasonal influenza vaccine-induced broadly protective neuraminidase antibody.,"{'Year': '2025', 'Month': 'Jun', 'Day': '02'}",[],[],
40175001,"A 3-week pause versus continued Bruton tyrosine kinase inhibitor use during COVID-19 vaccination in individuals with chronic lymphocytic leukaemia (IMPROVE trial): a randomised, open-label, superiority trial.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40171435,Burden of acute and long-term COVID-19: a nationwide study in Bahrain.,{'Year': '2025'},[],[],
40170841,T and B cell responses in different immunization scenarios for COVID-19: a narrative review.,{'Year': '2025'},[],[],
40168024,Patient- and Community-Level Characteristics Associated With Respiratory Syncytial Virus Vaccination.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40165947,Mucosal multivalent NDV-based vaccine provides cross-reactive immune responses against SARS-CoV-2 variants in animal models.,{'Year': '2025'},[],[],
40164121,What Is Next for COVID-19 Vaccination?,"{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40162215,Exploring Associations Between COVID-19 Bivalent Vaccines and Their Related Adverse Events: A Correlational Study.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40161664,Convergent and clonotype-enriched mutations in the light chain drive affinity maturation of a public antibody.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40155111,Advancing maternal and perinatal health through clinical trials: key insights from a WHO global consultation.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40154988,Clinical characteristics and burden of COVID-19 in children and adolescents in Colombia: a retrospective database analysis.,"{'Year': '2025', 'Month': 'Mar', 'Day': '28'}",[],[],
40153203,Seroprevalence of SARS-CoV-2 antibodies in patients with hematological and oncological diseases in early 2024.,"{'Year': '2025', 'Month': 'Mar', 'Day': '28'}",[],[],
40149090,Effect of Early Administration of Clarithromycin or Azithromycin on Symptoms of Pertussis in Infants.,"{'Year': '2025', 'Month': 'Mar', 'Day': '08'}",[],[],
40149087,Influence of Educational Films on Antiviral Prescription for COVID-19: Insights from Web-Based Survey in Japan.,"{'Year': '2025', 'Month': 'Mar', 'Day': '07'}",[],[],
40148999,Seven-month persistence of COVID-19 vaccine-induced lymphadenopathy: a case report.,"{'Year': '2025', 'Month': 'Mar', 'Day': '27'}",[],[],
40143485,Long-term antibody response after COVID-19 vaccination in health care workers: A single centre study from Pakistan.,"{'Year': '2025', 'Month': 'Mar'}",[],[],
40142561,Efficacy of Molnupiravir in Reducing the Risk of Severe Outcomes in Patients with SARS-CoV-2 Infection: A Real-Life Full-Matched Case-Control Study (SAVALO Study).,"{'Year': '2025', 'Month': 'Mar', 'Day': '15'}",[],[],
40142428,SARS-CoV-2 Vaccine-Induced Humoral Immunity in Immunocompetent European Adults: A Systematic Review.,"{'Year': '2025', 'Month': 'Feb', 'Day': '27'}",[],[],
40138189,Estimating the potential public health and economic impact of vaccination strategies with an adapted vaccine in Colombia using a combined Markov-decision tree model.,"{'Year': '2025', 'Month': 'Dec'}",[],[],
40126324,Utilizing an Educational Intervention to Enhance Influenza Vaccine Literacy and Acceptance Among Minoritized Adults in Southern Californian Vulnerable Communities in the Post-COVID-19 Era.,"{'Year': '2025', 'Month': 'Feb', 'Day': '26'}",[],[],
40124588,Associations of COVID-19 vaccination with risks for post-infectious cardiovascular complications: an international cohort study in cancer patients with SARS-CoV-2 infection.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40124199,Demographic and Clinical Factors Associated With SARS-CoV-2 Anti-Nucleocapsid Antibody Response Among Previously Infected US Adults: The C4R Study.,"{'Year': '2025', 'Month': 'Mar'}",[],[],
40120578,Modulation of lipid nanoparticle-formulated plasmid DNA drives innate immune activation promoting adaptive immunity.,"{'Year': '2025', 'Month': 'Mar', 'Day': '13'}",[],[],
40118946,SARS-Cov-2 vaccination strategies in hospitalized recovered COVID-19 patients: a randomized clinical trial (VATICO Trial).,"{'Year': '2025', 'Month': 'Mar', 'Day': '22'}",[],[],
40117941,"Concordance between parent-reported and documented COVID-19 vaccination status among hospitalized children and adolescents: Implications for vaccine effectiveness estimates, May 2021-October 2023.","{'Year': '2025', 'Month': 'Mar', 'Day': '20'}",[],[],
40117726,Predicting immune protection against outcomes of infectious disease from population-level effectiveness data with application to COVID-19.,"{'Year': '2025', 'Month': 'Mar', 'Day': '20'}",[],[],
40114918,Enhanced T-cell immunity and lower humoral responses following 5-dose SARS-CoV-2 vaccination in patients with inborn errors of immunity compared with healthy controls.,{'Year': '2025'},[],[],
40112854,Future immunisation strategies to prevent Streptococcus pneumoniae infections in children and adults.,"{'Year': '2025', 'Month': 'Mar', 'Day': '17'}",[],[],
40112019,"Effectiveness of the Pfizer-BioNTech (BNT162b2) vaccine against the omicron variant of SARS-CoV-2 among adults aged 50 and above: A case-control study in Lebanon, June 2022.",{'Year': '2025'},[],[],
40110665,Proceedings of the 2023 Annual Scientific Meeting of the French Society of Toxicologic Pathology (SFPT) on Preclinical Development and Therapeutic Applications of mRNA-Based Technologies.,"{'Year': '2025', 'Month': 'Mar', 'Day': '20'}",[],[],
40109335,Longitudinal analysis of immune responses to SARS-CoV-2 recombinant vaccine S-268019-b in phase 1/2 prime-boost study.,{'Year': '2025'},[],[],
40108502,Assessment of the factors affecting the clinical outcomes of infection and safety of vaccines against SARS-CoV-2 among Egyptian patients.,"{'Year': '2025', 'Month': 'Mar', 'Day': '19'}",[],[],
40107677,"{'b': [{'u': 'P'}, {'u': 'i'}, {'u': 'r'}, {'u': 'a'}, {'u': 't'}, {'u': 's'}, {'u': 'CO'}, {'u': 'v'}], '#text': 'robiotics  nfluencing  esponse of  ntibodies over  ime in  eniors after  VID-19  accine (PIRATES-COV): a randomised controlled trial protocol.'}","{'Year': '2025', 'Month': 'Mar', 'Day': '18'}",[],[],
40106487,Disparities in anti-SARS-CoV-2 reactivity according to vaccines administered in the era of omicron in Cameroon: Lessons for future outbreak response.,{'Year': '2025'},[],[],
40100618,Risk of Severe COVID-19 in Four Immunocompromised Populations: A French Expert Perspective.,"{'Year': '2025', 'Month': 'Mar', 'Day': '18'}",[],[],
40099868,General practitioner consultation for postmenopausal bleeding after COVID-19 vaccination-a self-controlled cohort study.,"{'Year': '2025', 'Month': 'Mar', 'Day': '18'}",[],[],
40093263,SARS-CoV-2 Fusion Peptide-Directed Antibodies Elicited by Natural Infection Mediate Broad Sarbecovirus Neutralization.,"{'Year': '2025', 'Month': 'Mar', 'Day': '05'}",[],[],
40089117,Child Opportunity Index at birth and asthma with recurrent exacerbations in the US ECHO program.,"{'Year': '2025', 'Month': 'Mar', 'Day': '13'}",[],[],
40084542,"Household Transmission and Genomic Diversity of Respiratory Syncytial Virus (RSV) in the United States, 2022-2023.","{'Year': '2025', 'Month': 'Mar', 'Day': '14'}",[],[],
40083966,"Immunogenicity and reactogenicity of fractional vs. full booster doses of COVID-19 vaccines: a non-inferiority, randomised, double-blind, phase IV clinical trial in Brazil.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40083673,"A Systematic Review of Vascular Injuries: A Review of Petechiae, Purpura, and Ecchymosis in Critical Situations Following COVID-19 Vaccination.","{'Year': '2025', 'Month': 'Mar'}",[],[],
40083550,Gut microbiota is associated with persistence of longer-term BNT162b2 vaccine immunogenicity.,{'Year': '2025'},[],[],
40083288,Model-Informed Drug Development Applications and Opportunities in mRNA-LNP Therapeutics.,"{'Year': '2025', 'Month': 'Mar', 'Day': '14'}",[],[],
40081452,COVID-19 Vaccination During Pregnancy and Major Structural Birth Defects.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40081231,The direct impact of mandatory PCV10 vaccination on invasive pneumococcal disease in Polish children.,"{'Year': '2025', 'Month': 'Mar', 'Day': '12'}",[],[],
40080823,Uterine Rupture Trends in Patients Pursuing Trial of Labor After Cesarean in the United States from 2010 to 2022.,"{'Year': '2025', 'Month': 'Mar', 'Day': '13'}",[],[],
40079963,Factors affecting the impact of COVID-19 vaccination on post COVID-19 conditions among adults: A systematic literature review.,"{'Year': '2025', 'Month': 'Dec'}",[],[],
40075519,Revolutionizing immunization: a comprehensive review of mRNA vaccine technology and applications.,"{'Year': '2025', 'Month': 'Mar', 'Day': '12'}",[],[],
40074946,"Infectious diseases, cardio-cerebrovascular health and vaccines: pathways to prevention.","{'Year': '2025', 'Month': 'Mar', 'Day': '13'}",[],[],
40074602,"Effectiveness of COVID-19 vaccines against laboratory-confirmed SARS-CoV-2 infection amongst health workers, Windhoek, Namibia.","{'Year': '2025', 'Month': 'Mar', 'Day': '11'}",[],[],
40071259,Real-world experience with therapies for SARS-CoV-2: Lessons from the Italian COVID-19 studies.,{'Year': '2025'},[],[],
40069636,"Incidence of dynamic seroconversion in subjects received the first dose of the SARS-COV-2 vaccine (AstraZeneca, Moderna and Pfizer) in Kinshasa, Democratic Republic of Congo: prospective cohort study.","{'Year': '2025', 'Month': 'Mar', 'Day': '11'}",[],[],
40068568,A review of Canadian online resources providing information on COVID-19 vaccination for caregivers of children aged 5-11 years.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40064870,Age-associated differences in mucosal and systemic host responses to SARS-CoV-2 infection.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40063203,Mapping Vaccination Mindsets among UK Residents of Black Ethnicities with HIV: Lessons from COVID-19.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40062892,"Seroprevalence of SARS-CoV-2 IgG antibodies in children seeking medical care in Seattle, WA June 2020 to December 2022.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40062871,Cost-Effectiveness of Nirmatrelvir/Ritonavir in COVID-19 Patients at High-Risk for Progression in Spain.,"{'Year': '2025', 'Month': 'Mar'}",[],[],
40059069,"Effectiveness of the XBB.1.5 COVID-19 Vaccines Against SARS-CoV-2 Hospitalisation Among Adults Aged ≥ 65 Years During the BA.2.86/JN.1 Predominant Period, VEBIS Hospital Study, Europe, November 2023 to May 2024.","{'Year': '2025', 'Month': 'Mar'}",[],[],
40058285,Next-generation seasonal influenza virus vaccines need a neuraminidase component.,"{'Year': '2025', 'Month': 'Mar', 'Day': '08'}",[],[],
40056806,Accurate evaluation of live-virus microneutralisation for SARS-CoV-2 variant JN.1 in the assessment of vaccination and therapeutics.,"{'Year': '2025', 'Month': 'Mar', 'Day': '07'}",[],[],
40056469,Data Interoperability in COVID-19 Vaccine Trials: Methodological Approach in the VACCELERATE Project.,"{'Year': '2025', 'Month': 'Mar', 'Day': '07'}",[],[],
40055264,COVID-19 booster doses reduce sex disparities in antibody responses among nursing home residents.,"{'Year': '2025', 'Month': 'Mar', 'Day': '08'}",[],[],
40053354,COVID-19 Outcomes Among Adults Receiving Electronic Nudges to Increase Influenza Vaccination: A Prespecified Secondary Analysis of the NUDGE-FLU Trial.,"{'Year': '2025', 'Month': 'Mar', 'Day': '03'}",[],[],
40048931,Durability of COVID-19 vaccine and infection induced immunity: A systematic review and meta-regression analysis.,"{'Year': '2025', 'Month': 'Mar', 'Day': '05'}",[],[],
40046918,Network analysis of adverse event patterns following immunization with mRNA COVID-19 vaccines: real-world data from the European pharmacovigilance database EudraVigilance.,{'Year': '2025'},[],[],
40045898,Severity Scale of Influenza and Acute Respiratory Illness Hospitalizations to Support Viral Genomic Surveillance: A Global Influenza Hospital Surveillance Network Pilot Study.,"{'Year': '2025', 'Month': 'Mar'}",[],[],
40045565,"Adult Vaccine Coadministration Is Safe, Effective, and Acceptable: Results of a Survey of the Literature.","{'Year': '2025', 'Month': 'Mar'}",[],[],
